Name vom Skigebiet,Saisonkarte Erwachsene,Saisonkarte Kinder,Tageskarte Erwachsene,Tageskarte Kinder,Online kaufen
Adelboden,"1,110.00",475.00,-,-,
Aeschi - Aeschiried,260.00,160.00,33.00,23.00,
Airolo,"1,130.00",495.00,-,-,
Amden - Arvenbüel,390.00,260.00,35.00,22.00,
Andermatt,"1,119.00",559.00,89.00,45.00,
Anzère,899.00,399.00,63.00,38.00,
Arolla,899.00,399.00,40.00,-,
Arosa Lenzerheide,"1,550.00",545.00,89.00,29.00,
Atzmännig Goldingen,390.00,249.00,35.00,25.00,
Avers,315.00,190.00,32.00,20.00,
Beatenberg,330.00,165.00,56.00,28.00,
Beckenried - Klewenalp,650.00,325.00,51.00,25.00,
Belalp - Blatten - Naters,789.00,395.00,69.00,35.00,
Bellwald,643.00,450.00,-,-,
Bergün - Filisur,500.00,300.00,43.00,25.00,
Bivio,420.00,210.00,43.00,22.00,
Boltigen - Jaunpass,340.00,220.00,34.00,22.00,
Bosco Gurin,700.00,350.00,50.00,25.00,
Braunwald,600.00,300.00,49.00,25.00,
Brienz Axalp,410.00,231.00,49.00,27.00,
Brigels - Breil,"1,045.00",480.00,-,-,
Brunni - Alpthal - Einsiedeln - Mythen,342.00,225.00,41.00,16.00,
Bruson - Val de Bagnes,"1,449.00",500.00,52.00,26.00,
Bugnenets - Savagnières,450.00,282.00,42.00,23.00,
Bulle - La Chia,150.00,100.00,20.00,15.00,
Bumbach Schangnau,549.00,299.00,35.00,25.00,
Cari,640.00,320.00,43.00,27.00,
Champex - Lac,99.00,99.00,43.00,28.00,
Champéry,"1,027.00",-,72.00,54.00,
Chandolin,899.00,399.00,65.00,39.00,
Charmey - Vounetse,899.00,399.00,41.00,25.00,
Chur,666.00,666.00,42.00,21.00,
Château d'Oex - La Braye,99.00,63.00,36.00,25.00,
Chäserrugg - Toggenburg,695.00,345.00,58.00,26.00,
Corvatsch - Sils - Silvaplana,"1,220.00",406.00,74.50,24.50,
Crans Montana,"1,189.00",599.00,56.00,31.00,
Dallenwil - Wirzweli,350.00,120.00,31.00,12.00,
Davos Klosters,"1,550.00",545.00,89.00,36.00,
Degersheim,320.00,230.00,30.00,24.00,
Diavolezza - Lagalb - Pontresina,1.00,406.00,82.50,27.00,
Diemtigtal - Grimmialp,400.00,240.00,39.00,26.00,
Diemtigtal - Springenboden,540.00,365.00,28.00,22.00,
Diemtigtal - Wiriehorn,490.00,330.00,48.00,31.00,
Disentis 3000,"1,119.00",559.00,64.00,32.00,
Ebenalp - Appenzellerland,400.00,250.00,35.00,25.00,
Ebnat - Kappel,320.00,220.00,30.00,24.00,
Eischoll,520.00,364.00,46.00,31.00,
Elm,580.00,290.00,49.00,25.00,
Engelberg,845.00,340.00,69.00,23.00,
Eriz,340.00,230.00,33.00,23.00,
